timestamp,name,attendance,dietaryPreferences,favoriteSong
2025-11-17T14:01:47.646Z,Florencia Barreto,yes,none,
2025-11-17T14:07:57.029Z,Flooooor,yes,none,
2025-11-17T14:08:45.353Z,Flor,yes,none,
2025-11-17T14:10:17.190Z,FLOOOO,yes,none,
2025-11-17T14:10:42.402Z,dfshdfhdf,yes,vegetarian,
2025-11-17T14:11:39.688Z,rgdfhsdf,yes,vegetarian; celiac,
2025-11-17T14:16:00.472Z,florrrdfhdfh,yes,none,
2025-11-17T14:17:19.072Z,fdhadfhsa,yes,none,
2025-11-17T14:19:46.208Z,dfhadhafd,yes,none,
2025-11-17T14:21:01.595Z,asdgasg,yes,none,
2025-11-17T14:22:47.257Z,fdgjshdf,yes,none,
